"Input","SYMBOL","Species"
"Eif4g1-Mus musculus","Eif4g1","Mus musculus"
"Eif4g2-Mus musculus","Eif4g2","Mus musculus"
"Eif4g3-Mus musculus","Eif4g3","Mus musculus"
"Elfn1-Mus musculus","Elfn1","Mus musculus"
"Elfn2-Mus musculus","Elfn2","Mus musculus"
"Elmo2-Mus musculus","Elmo2","Mus musculus"
"Elmod1-Mus musculus","Elmod1","Mus musculus"
"Elmod2-Mus musculus","Elmod2","Mus musculus"
"Elovl5-Mus musculus","Elovl5","Mus musculus"
"Elp1-Mus musculus","Elp1","Mus musculus"
"Elp2-Mus musculus","Elp2","Mus musculus"
"Emc1-Mus musculus","Emc1","Mus musculus"
"Emc10-Mus musculus","Emc10","Mus musculus"
"Emc3-Mus musculus","Emc3","Mus musculus"
"Emc4-Mus musculus","Emc4","Mus musculus"
"Emc7-Mus musculus","Emc7","Mus musculus"
"Emc8-Mus musculus","Emc8","Mus musculus"
"Emd-Mus musculus","Emd","Mus musculus"
"Emx1-Mus musculus","Emx1","Mus musculus"
"Enah-Mus musculus","Enah","Mus musculus"
"Endod1-Mus musculus","Endod1","Mus musculus"
"Eno1-Mus musculus","Eno1","Mus musculus"
"Entpd6-Mus musculus","Entpd6","Mus musculus"
"Epb41-Mus musculus","Epb41","Mus musculus"
"Epb41l1-Mus musculus","Epb41l1","Mus musculus"
"Epb41l2-Mus musculus","Epb41l2","Mus musculus"
"Epb41l3-Mus musculus","Epb41l3","Mus musculus"
"Epha4-Mus musculus","Epha4","Mus musculus"
"Epha7-Mus musculus","Epha7","Mus musculus"
"Epm2aip1-Mus musculus","Epm2aip1","Mus musculus"
"Eprs-Mus musculus","Eprs","Mus musculus"
"Erc1-Mus musculus","Erc1","Mus musculus"
"Erc2-Mus musculus","Erc2","Mus musculus"
"Erlin2-Mus musculus","Erlin2","Mus musculus"
"Esyt2-Mus musculus","Esyt2","Mus musculus"
"Etf1-Mus musculus","Etf1","Mus musculus"
"Etl4-Mus musculus","Etl4","Mus musculus"
"Evi5l-Mus musculus","Evi5l","Mus musculus"
"Evl-Mus musculus","Evl","Mus musculus"
"Ewsr1-Mus musculus","Ewsr1","Mus musculus"
"Exd2-Mus musculus","Exd2","Mus musculus"
"Exoc1-Mus musculus","Exoc1","Mus musculus"
"Exoc2-Mus musculus","Exoc2","Mus musculus"
"Exoc3-Mus musculus","Exoc3","Mus musculus"
