"Input","SYMBOL","Species"
"CTBP1-Homo sapiens","CTBP1","Homo sapiens"
"CTNNA1-Homo sapiens","CTNNA1","Homo sapiens"
"CTNNA2-Homo sapiens","CTNNA2","Homo sapiens"
"CTNNB1-Homo sapiens","CTNNB1","Homo sapiens"
"CTNND1-Homo sapiens","CTNND1","Homo sapiens"
"CTNND2-Homo sapiens","CTNND2","Homo sapiens"
"CTTNBP2-Homo sapiens","CTTNBP2","Homo sapiens"
"CUL3-Homo sapiens","CUL3","Homo sapiens"
"CXADR-Homo sapiens","CXADR","Homo sapiens"
"CYB5R1-Homo sapiens","CYB5R1","Homo sapiens"
"CYFIP1-Homo sapiens","CYFIP1","Homo sapiens"
"CYFIP2-Homo sapiens","CYFIP2","Homo sapiens"
"CYLD-Homo sapiens","CYLD","Homo sapiens"
"CYP4X1-Homo sapiens","CYP4X1","Homo sapiens"
"CYRIA-Homo sapiens","CYRIA","Homo sapiens"
"CYTH2-Homo sapiens","CYTH2","Homo sapiens"
"CYTH3-Homo sapiens","CYTH3","Homo sapiens"
"DAAM1-Homo sapiens","DAAM1","Homo sapiens"
"DAAM2-Homo sapiens","DAAM2","Homo sapiens"
"DAB2IP-Homo sapiens","DAB2IP","Homo sapiens"
"DACT1-Homo sapiens","DACT1","Homo sapiens"
"DACT3-Homo sapiens","DACT3","Homo sapiens"
"DAD1-Homo sapiens","DAD1","Homo sapiens"
"DARS1-Homo sapiens","DARS1","Homo sapiens"
"DBN1-Homo sapiens","DBN1","Homo sapiens"
"DBNL-Homo sapiens","DBNL","Homo sapiens"
"DCAF7-Homo sapiens","DCAF7","Homo sapiens"
"DCD-Homo sapiens","DCD","Homo sapiens"
"DCLK1-Homo sapiens","DCLK1","Homo sapiens"
"DCLK2-Homo sapiens","DCLK2","Homo sapiens"
"DCTN1-Homo sapiens","DCTN1","Homo sapiens"
"DCTN2-Homo sapiens","DCTN2","Homo sapiens"
"DCTN3-Homo sapiens","DCTN3","Homo sapiens"
"DCTN4-Homo sapiens","DCTN4","Homo sapiens"
"DCX-Homo sapiens","DCX","Homo sapiens"
"DDAH1-Homo sapiens","DDAH1","Homo sapiens"
"DDOST-Homo sapiens","DDOST","Homo sapiens"
"DDR1-Homo sapiens","DDR1","Homo sapiens"
"DDRGK1-Homo sapiens","DDRGK1","Homo sapiens"
"DDX1-Homo sapiens","DDX1","Homo sapiens"
"DDX17-Homo sapiens","DDX17","Homo sapiens"
"DDX19A-Homo sapiens","DDX19A","Homo sapiens"
"DDX39B-Homo sapiens","DDX39B","Homo sapiens"
"DDX3X-Homo sapiens","DDX3X","Homo sapiens"
